date,radiation type,"קרינה שעתית 05-06 (וואט/מ""ר)","קרינה שעתית 06-07 (וואט/מ""ר)","קרינה שעתית 07-08 (וואט/מ""ר)","קרינה שעתית 08-09 (וואט/מ""ר)","קרינה שעתית 09-10 (וואט/מ""ר)","קרינה שעתית 10-11 (וואט/מ""ר)","קרינה שעתית 11-12 (וואט/מ""ר)","קרינה שעתית 12-13 (וואט/מ""ר)","קרינה שעתית 13-14 (וואט/מ""ר)","קרינה שעתית 14-15 (וואט/מ""ר)","קרינה שעתית 15-16 (וואט/מ""ר)","קרינה שעתית 16-17 (וואט/מ""ר)","קרינה שעתית 17-18 (וואט/מ""ר)","קרינה שעתית 18-19 (וואט/מ""ר)"
01/01/2017,גלובלית,0,3,56,245,406,510,583,587,247,178,26,15,0,0
02/01/2017,גלובלית,0,4,48,250,394,437,355,143,181,117,44,10,0,0
03/01/2017,גלובלית,0,4,36,189,411,486,540,470,458,351,128,13,0,0
04/01/2017,גלובלית,0,2,21,33,78,258,639,560,393,269,83,15,0,0
05/01/2017,גלובלית,0,4,62,225,388,457,477,353,353,278,101,17,0,0
06/01/2017,גלובלית,0,3,61,261,418,526,573,555,475,340,121,13,0,0
07/01/2017,גלובלית,0,3,47,217,282,436,479,456,433,341,126,17,0,0
08/01/2017,גלובלית,0,2,15,58,232,408,348,329,265,197,65,11,0,0
09/01/2017,גלובלית,0,3,27,109,145,72,54,43,54,81,64,19,0,0
10/01/2017,גלובלית,0,4,65,262,424,540,585,519,301,178,111,23,0,0
11/01/2017,גלובלית,0,4,67,242,398,517,556,536,457,328,136,17,0,0
12/01/2017,גלובלית,0,3,68,224,337,457,457,561,475,337,149,26,0,0
13/01/2017,גלובלית,0,4,97,295,421,317,536,425,261,228,106,24,0,0
14/01/2017,גלובלית,0,2,30,88,128,105,103,136,108,44,44,15,0,0
15/01/2017,גלובלית,0,3,52,127,319,499,511,506,484,358,188,33,0,0
16/01/2017,גלובלית,0,4,67,232,418,512,591,582,505,356,149,30,0,0
17/01/2017,גלובלית,0,3,63,214,384,501,585,565,481,338,161,21,0,0
18/01/2017,גלובלית,0,3,68,244,405,526,501,358,438,337,113,21,0,0
19/01/2017,גלובלית,0,4,62,232,398,398,243,491,457,354,188,38,0,0
20/01/2017,גלובלית,0,4,64,259,418,480,364,348,402,370,150,22,0,0
21/01/2017,גלובלית,0,3,48,133,285,410,621,412,511,162,189,26,0,0
22/01/2017,גלובלית,0,4,71,271,436,542,604,574,489,387,148,29,0,0
23/01/2017,גלובלית,0,4,75,273,443,562,625,612,532,398,207,19,0,0
24/01/2017,גלובלית,0,5,83,233,410,534,568,536,515,377,185,23,0,0
25/01/2017,גלובלית,0,2,38,128,249,414,309,133,209,189,117,30,0,0
26/01/2017,גלובלית,0,4,82,281,315,104,259,376,411,170,104,34,1,0
27/01/2017,גלובלית,0,4,39,152,226,207,208,176,104,100,20,17,2,0
